State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Computer,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,1369597,1371642,1483347,5512,488596,495794,2399901,275970,15422,1377,25510,617,322,566108,45202,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,2064495,2016653,2310960,8606,583135,154127,3599372,443456,20463,932,341,1417,309,897970,48299,102.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,2090204,2083860,2667878,13763,785760,159165,3737588,397870,24129,867,253,1322,358,944555,67087,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,22411,945269,213195,4983330,77777,77825,738,413,4149,403,1297273,93784,99.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,19383,957407,247089,4217597,559770,89763,764,323,3282,332,1186028,80434,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,2018575,1924748,2892155,149034,247927,48937,2046051,1713405,87522,11446,1268,19560,1929,869721,274653,105.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1880800,1895469,2206829,8831,709757,106745,3491139,244723,24979,2086,332,312,115,926768,46584,99.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,1390988,1406382,1630234,8628,462896,765565,2595321,158887,33463,655,217,459,539,668519,42171,99.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,30438,871063,132464,4023678,307043,145598,1393,863,6320,906,1163932,101450,101.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,2039227,2014236,2127161,10081,737945,82831,3328380,670737,33165,737,255,2235,434,816721,56478,101.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,2050386,2002642,1940646,6153,708954,364269,3673456,334172,21345,658,290,388,267,757821,60812,102.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,1523030,1510258,1637137,8635,537947,168985,2637313,342449,34301,1309,554,457,217,604719,47170,101.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1759772,1729037,2001019,7715,637385,394279,3249231,188646,35025,937,241,250,132,789225,53777,102.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,1250641,1300694,1389810,5261,371074,192941,2123426,391596,19653,2357,1847,542,146,545913,35036,96.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,6151,787861,151145,3150195,220654,18775,266,97,204,206,763746,43611,102.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,1341738,1361376,1495381,3988,255664,166118,2666950,9025,18879,193,77,160,106,615432,32280,99.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,1161477,1182997,1238388,4453,247728,235556,2299129,16423,17853,380,114,815,183,527736,24128,98.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1759281,1753295,2065023,12952,616102,530656,3273755,197333,31377,1453,253,569,126,828077,59006,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,12050,811698,109072,3733191,86142,109120,288,209,1578,211,1017568,55613,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,76948,71278,73174,170,0,53878,47683,2134,35969,94,50381,95,11738,14593,1486,108.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,38775,39915,38449,57,0,72400,12333,652,37136,36,452,23,27868,5318,885,97.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,50116,49098,62576,450,0,69979,27854,2289,18254,69,776,30,49393,14231,1582,102.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,45318,46758,36606,95,0,90764,4859,471,51189,43,121,81,34158,3911,969,97.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,76221,69505,83062,312,0,47410,99020,3846,10684,210,24452,104,7277,17157,1471,110.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,28053,26027,31849,207,0,25974,28915,2247,9213,33,2932,19,10393,5932,742,108.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,41843,41187,54057,381,0,72911,9551,1482,34402,27,193,13,37085,12493,1598,102.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,89182,87391,121048,2477,0,117216,57027,6148,84397,310,4768,139,22586,30539,7418,102.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,29151,20826,26073,96,0,34811,11842,787,776,1164,34920,72,349,8635,494,140.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,57604,54371,47974,98,0,98372,20682,1103,83361,61,778,43,5325,16026,888,106.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,18699,16621,18195,97,0,28468,5261,411,5643,27,2577,7,20967,6198,392,113.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,41758,41690,45278,139,0,78323,13474,521,8779,28,297,11,59449,5373,750,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,46155,37792,48492,202,0,46380,31265,1970,8466,328,36087,71,5556,14188,887,122.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,58168,54106,64746,303,0,92783,15881,2218,29969,577,3311,49,60005,14204,1300,108.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,867004,826618,897058,2078,95320,27344,492966,1198036,1020,112,49,399,14,84804,25286,105.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,375818,362986,434078,2523,82784,18835,359145,371033,5924,384,236,871,9,49866,12959,104.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,886284,850333,1174128,5316,264897,17569,1038985,654816,37635,280,341,1673,98,140205,37541,104.0,68.0
